time,dragged,x,xpage,xtarget,y,ypage,ytarget,target,targetheight,targetwidth
1214935989,0,897,897.0,undefined,267,196.0,undefined,"<div class=""r1""></div>",24.0,1232.0
1214936036,0,893,893.0,undefined,271,200.0,undefined,"<div class=""r1""></div>",24.0,1232.0
1214936051,0,892,892.0,undefined,273,202.0,undefined,"<div class=""r1""></div>",24.0,1232.0
1214936067,0,890,890.0,undefined,276,205.0,undefined,"<div class=""r1""></div>",24.0,1232.0
1214936082,0,886,886.0,undefined,281,210.0,undefined,"<div class=""r0""></div>",24.0,1232.0
1214936098,0,884,884.0,undefined,285,214.0,undefined,"<div class=""r0""></div>",24.0,1232.0
1214936114,0,879,879.0,undefined,292,221.0,undefined,"<div class=""r0""></div>",24.0,1232.0
1214936129,0,878,878.0,undefined,295,224.0,undefined,"<div class=""r0""></div>",24.0,1232.0
1214936145,0,875,875.0,undefined,300,229.0,undefined,"<div class=""r0""></div>",24.0,1232.0
1214936176,0,869,869.0,undefined,310,239.0,undefined,"<div class=""r1""></div>",24.0,1232.0
1214936192,0,868,868.0,undefined,314,243.0,undefined,"<div class=""r1""></div>",24.0,1232.0
1214936207,0,867,867.0,undefined,315,244.0,undefined,"<div class=""r1""></div>",24.0,1232.0
1214936223,0,867,867.0,undefined,316,245.0,undefined,"<div class=""r1""></div>",24.0,1232.0
1214936363,0,867,867.0,undefined,317,246.0,undefined,"<div class=""r1""></div>",24.0,1232.0
1214936379,0,865,865.0,undefined,318,247.0,undefined,"<div class=""r1""></div>",24.0,1232.0
1214936394,0,863,863.0,undefined,321,250.0,undefined,"<div class=""r1""></div>",24.0,1232.0
1214936457,0,723,723.0,undefined,469,398.0,undefined,"<div class=""r1""></div>",24.0,1232.0
1214936472,0,687,687.0,undefined,509,438.0,undefined,"<div class=""r0""></div>",24.0,1232.0
1214936488,0,623,623.0,undefined,581,510.0,undefined,<div></div>,2006.0,1355.0
1214936504,0,595,595.0,undefined,612,541.0,undefined,"<div class=""qtext""></div>",16.0,1232.0
1214936519,0,550,550.0,undefined,672,601.0,undefined,"<div class=""r0""></div>",24.0,1232.0
